11.5047,11.0363,10.1077,11.0613
10.2902,11.1151,11.0358,11.9788
10.8285,11.5696,9.9071,9.9513
11.4535,12.8559,10.8767,10.64
10.8085,9.9189,10.9342,11.3786
9.822,11.0451,9.9857,10.7459
13.3208,13.2368,14.3625,14.1711
13.4671,15.7931,12.7552,14.2006
11.838,12.5032,11.3806,11.4265
10.356,9.4243,11.8513,8.7633
9.4113,8.9947,9.2133,9.6369
10.3688,11.2975,12.2244,11.8188
8.4238,10.2647,11.8037,12.0277
10.0958,8.4764,7.6229,8.5806
10.0293,8.8481,8.3635,9.1792
11.4454,11.4552,11.0797,10.2574
11.636,12.4143,13.0079,14.4527
9.6282,9.5091,8.9687,9.8068
10.3222,8.4178,11.4278,9.7083
10.935,12.3125,14.4563,13.4333
10.91,8.825,11.1624,10.2117
10.1507,10.5551,11.2289,10.2849
12.2672,10.6559,12.3154,9.4263
12.0104,12.1701,11.3003,10.9865
10.765,10.1717,11.6403,11.0162
10.3071,11.2598,11.5144,11.6525
14.1287,12.7442,13.1206,12.4819
14.5769,13.3618,9.4784,13.4364
11.1556,13.181,10.9556,9.6819
11.9535,11.7138,13.4243,10.5609
11.2649,11.6965,11.3842,13.6406
12.2158,12.8262,11.5331,12.9119
12.0092,11.8802,11.6969,9.9832
10.9556,10.759,12.1536,10.7685
11.9784,11.305,9.8529,12.6778
11.2667,10.4982,10.1712,10.9517
13.1435,11.9108,9.7803,9.1821
11.34,11.4954,10.3592,9.1339
12.2667,11.6797,10.5292,11.375
11.3794,11.9028,11.467,11.8719
