text1,text2,is_same
a white or colorless mineral (BaSO4); the main source of barium,doctoral thesis by M. M. Abdul-Malik,0
expel or eject without recourse to legal process,article,0
of or relating to the belief that God can be known to humans only in terms of what He is not (such as `God is unknowable'),way of describing the divine by explaining what God is not,1
having or using only one filament,simplified notation for representing a three-phase power system,1
without tonality,"musical structure; music that lacks a tonal center, or key",1
type genus of the Cicadidae: cicadas,genus of insects,1
the largest city in Pennsylvania; located in the southeastern part of the state on the Delaware river; site of Independence Hall where the Declaration of Independence and the Constitution were signed; site of the University of Pennsylvania,played in the American Association from 1882 through 1890,0
to an exceptional degree,journal,1
an electrical switch operated by pressing,1952 animated short film directed by Joseph Barbera,0
soup made from chicken broth,primarily liquid food,0
a thin explosive device inside an envelope or package and detonated when opened,album by The Submarines,0
someone who broadcasts the news,Retired news anchor,0
capital and largest city of Togo; located in the south on the Gulf of Guinea,French naval architect,0
a sleepy person,free software,1
a picturesque city of southern California on San Diego Bay near the Mexican border; site of an important naval base,basketball team,0
a person who yields or surrenders,song by Elvis Presley,0
a stately court dance of the 16th and 17th centuries,ballet,0
having deep purple flowers,species of plant,1
a republic on the Pacific coast of Central America,country in Central America,1
a savings account in which deposits and withdrawals are recorded in the depositor's passbook,paper book used to record bank transactions on a deposit account,1
a hat with a wide brim and a soft crown; worn by American ranch hands,"roadside attraction in Seattle, USA",0
an individual's prescribed share of work,period of a ship's service life spent in commission with a particular operator,1
a person who makes pianos,profession,1
an Irish breed with a chestnut-brown or mahogany-red coat,Wikimedia category,0
without preparation,process of devising a solution to a requirement in an ad hoc fashion,1
an industrial plant for purifying a crude substance,industrial process plant where crude oil is processed and refined into more useful products,1
genus of Eurasian herbs and small shrubs: buckler mustard,subspecies of plant,0
a fungus resembling slime mold that causes swellings or distortions of the roots of cabbages and related plants,common disease of plants belonging to the family Brassicaceae (Cruciferae),1
(chemistry) a series of 15 radioactive elements with increasing atomic numbers from actinium to lawrencium,f-block chemical elements,1
"the time period during which only modern Homo sapiens was known to have existed; ended about 10,000 years BC",article,0
an ancient Greek city located in the western part of what is now modern Turkey; the technique of preparing sheepskins as parchment was developed here,ancient Greek city in modern-day Turkey,1
genus of Old World plants grown as ornamentals,subspecies of plant,0
deliver a sharp blow or push :,genetically modified mouse used in gene research,1
the basic unit of money in Ghana,currency,1
deep-sea ribbonfish,species of fish,1
any of several plants of the genus Brodiaea having basal grasslike leaves and globose flower heads on leafless stems resembling those of genus Allium,species of plant,0
an Asian river; flows through a large delta in southern Vietnam into the South China Sea,German thrash and progressive metal band,0
slender hairy plant with few leaves and golden-yellow flower heads; sandy desert areas of southeastern California to southwestern Utah and western Arizona and northwestern Mexico,species of plant,1
a constellation in the southern hemisphere near Dorado and Columba,Australian painter,0
predatory black-and-white toothed whale with large dorsal fin; common in cold seas,killings at two or more locations with almost no time break between murders,0
a fly (fisherman's lure) that skims the surface of the water,angling method,1
a stately court dance of the 16th and 17th centuries,manga,0
ground dried onion and salt,"raw beef dish, made fromraw beef, raw egg, onion, salt, pepper, and other seasonings",1
the type genus of the Hylidae; tree toads,genus of amphibians,1
genus of aromatic European herbs with yellow flowers,genus of plants,1
a leaf having a smooth margin without notches or indentations,"organ of a vascular plant, composing its foliage",1
an ancient country in central Italy; assimilated by the Romans by about 200 BC,region of Central Italy,1
having a straight beak,document issued by a carrier (or their agent) to acknowledge receipt of cargo for shipment,0
the larger of the two satellites of Mars,article,0
a fungus family of order Helotiales,genus of fungi,0
swinging by the arms from branch to branch,journal article; published in Advanced Robotics in 2004,0
a genus of Soleidae,Wikimedia template,0
a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers,"The aggregation, arrangement and bonding together of a set of components to form a membrane raft, a small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalizes cellular processes.",0
plant having thick fibrous leaves transversely banded in light and dark green,species of plant,1
an epithelium of mesoblastic origin; a thin layer of flattened cells that lines the inside of some body cavities,Inner lining of blood vessels,1
a bell activated by the magnetic effect of an electric current,mechanical bell that functions by means of an electromagnet,1
