text1,text2,is_same
English breed of strong stocky dog having a broad skull and smooth coat,painting by J.M. Crossland,0
a cereal that is served hot,"food commonly eaten as a breakfast cereal dish, made by boiling ground, crushed or chopped starchy plants, typically grain, in water or milk",1
a nation in northern North America; the French were the first Europeans to settle in mainland Canada,political office in Canada,0
a faint constellation in the northern hemisphere near Cassiopeia and the pole star,constellation in the northern celestial hemisphere,1
a commissioned officer (especially one in the Royal Air Force) equivalent in rank to a colonel in the army,Recipient of the Victoria Cross,0
of or relating to or characteristic of marble,Through the Looking-Glass character,1
having the power to prevent evil or bad luck,mythological or folkloric creature (for vampires from a work of fiction see Q30061417),0
a person afflicted with arthritis,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located in joint.,0
the dialect of Spanish spoken in Mexico,dialect of Spanish spoken and written in Mexico,1
evergreen shrub of southern European highlands having downy foliage and a succession of yellow flowers throughout the summer followed by curious snail-shaped pods,botanical engraving by Ferdinand Bauer,0
perennial of coastal sands and shingles of northern Europe and Baltic and Black Seas having racemes of small white flowers and large fleshy blue-green leaves often used as potherbs,combustible rock,0
a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,xylophone used in Alpine folk music,0
a faint constellation in the northern hemisphere near Cassiopeia and the pole star,mythical character,0
the branch of medicine concerned with the prompt diagnosis and treatment of injuries or trauma or sudden illness,journal,1
hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters,painting by Charles Kay Robertson (c. 1860 – 1939) and Thomas  Henry Gibb,0
a dentist who is expert in prosthodontics,organization,0
a lane on a basketball court extending from the end line to 15 feet in front of the backboard; players may not enter this lane during a free throw,"rectangular playing surface, with baskets at each end",1
an officer in command of a military unit,highest-ranking member of the United States Coast Guard,0
a landlocked mountainous republic in southeast central Asia to the north of Afghanistan; formerly an Asian soviet,badminton association,0
a dentifrice in the form of a paste,paste or gel dentifrice used to clean and maintain the health of teeth,1
a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries),form of music,1
a fatty oil obtained from the menhaden fish and used in paint and ink and in treating leather,Oil from fish Alosa and Menhaden,1
"an imperfect rhyme (e.g., `love' and `move')","a rhyme in which two words are spelled similarly but pronounced differently; e.g. ""tough / through""",1
hybrid garden flower derived from Chrysanthemum maximum and Chrysanthemum lacustre having large white flower heads resembling oxeye daisies; often placed in the genus Chrysanthemum,"Santa Rosa, Calif. :Burbank Experiment Farms,1904. | U.S. Department of Agriculture, National Agricultural Library",0
termination of pregnancy without expulsion of all of the products of conception,clinical trial,0
"partition by means of a divider, such as a screen","quality of fictional events which are not seen, but merely heard by the audience or described by the characters",1
an adherent of Ismailism; a member of the Ismaili branch of Shiism,family name,0
a honey-colored edible mushroom commonly associated with the roots of trees in late summer and fall; do not eat raw,genus of fungi,0
showing no courtesy; rude,gentle politeness and courtly manners,1
a genus of Scarabaeidae,genus of scarab beetles,1
the eighth month of the Islamic calendar,researcher,0
a game played by two teams of 11 players on a rectangular field 100 yards long; teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays,"organization, in which a group of players are organized to compete as a team in American football",0
a quadrilateral with two parallel sides,trapezoid whose four sides are all tangent to a circle within it,0
small slow-growing deciduous shrubby tree of dry sandy barrens of southeastern United States having leaves with bristle-tipped lobes resembling turkey's toes,species of plant,1
Javanese foliage plant grown for their handsome velvety leaves with violet-purple hairs,species of plant,1
small moth whose larvae feed on kernels of stored grains,species of insect,1
Hindu mother goddess; supreme power in the universe; wife or embodiment of the female energy of Siva having both beneficent and malevolent forms or aspects,badminton player,0
a garden where hops are grown,"Godstone, Tandridge, Surrey, RH9",0
small genus of Hawaiian spreading and rosette-forming shrubs,subspecies of plant,0
the name that appears on the by-line to identify the author of a work,"printed line of text accompanying a news story, article, or the like, giving the author's name",1
beef loin muscle,Hong Kong food,0
a metric unit of volume equal to one tenth of a liter,derivative of the DVD+R format disc that employ two recordable dye layers,0
a borough of New York City,high school,0
supply a rack with feed for (horses or other animals),"form of murder, homicide",1
a city in central Chile to the south of Concepcion,association football club,0
reserves that do not show up on the balance sheet (as by understating values),2016 film by Valentin Hitz,0
a unit of force equal to 1000 newtons,unit of force,1
an oral antibiotic (trade name Cipro) used against serious bacterial infections of the skin or respiratory tract or urinary tract or bones or joints,association football governing body of Cyprus,0
a gun that is loaded at the breech,article,0
not having a medicinal effect or not medically prescribed,Wikimedia category,1
intelligence that is required for the planning and conduct of tactical operations,"gathering and assessment of strategic, tactical, and policy information",1
a political party in the United States; formed in 1869 to oppose the manufacture and sale of alcoholic beverages,1900 U.S. Prohibition Party presidential candidate,0
a person who controls an organization dealing in illegal drugs,drug lord,0
a digital display that uses liquid crystal cells that change reflectivity in an applied electric field; used for portable computer displays and watches etc.,display technology,0
the basic unit of money in Lithuania,former currency of Lithuania,1
human excreta used as fertilizer,"euphemism for human feces collected at night from cesspools, privies, etc.",1
lung disease caused by inhaling asbestos particles,publication,0
a genus of Stichaeidae,species of fish,0
any of various deciduous or evergreen shrubs of the genus Hydrangea,genus of plants,1
type genus of the Plataleidae,subspecies of bird,0
a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy,artistic theme from classical mythology,0
geranium of western North America having pinkish-purple flowers in open clusters,painting by Mary Vaux Walcott,0
a landlocked monarchy in southeastern Africa; member of the commonwealth that achieved independence from the United Kingdom in 1968,Senior queen of Swaziland,0
a rake used by gardeners,agricultural tool used for moving soil or other material,1
sponges with siliceous spicules that have six rays; choanocytes are restricted to finger-shaped chambers,class of sponges,1
a gasteromycete with a leathery stalk and a fruiting body that is globose and has a pale yellow spore case,species of fungus,1
a noun that is derived from a verb,noun formed from or otherwise corresponding to a verb,1
an oral antibiotic (trade name Cipro) used against serious bacterial infections of the skin or respiratory tract or urinary tract or bones or joints,professional association football club based in Ammochostos (Famagusta),0
a guide who leads others on a tour,Turkish writer,0
a government building with five sides that serves as the headquarters of the United States Department of Defense,subclass of centered polygonal number,0
a passenger ship used commercially for pleasure cruises,Class of cruise ships,0
aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe,American band,0
trade from upper-class customers,generally horse-drawn means of transport,1
a global treaty banning the production or acquisition or stockpiling or transfer or use of chemical weapons,international treaty banning chemical weapons,1
the fielding position of the player on a baseball team who is stationed at first of the bases in the infield (counting counterclockwise from home plate),military rank,0
deep-dish meat and vegetable pie or a meat stew with dumplings,"spring in Union County, United States of America",1
having a slight and rapid trembling motion,"spring in Park County, United States of America",0
United States ballet dancer (born in Russia) (1917-1977),American dancer,0
someone who organizes a business venture and assumes the risk for it,Australian scientist and entrepreneur in the area of biochemistry and plant molecular biology,0
someone whose income is from property rents or bond interest and other investments,"commune in Puy-de-Dôme, France",0
fossil remains found in Java; formerly called Pithecanthropus erectus,Homo erectus from java,1
primitive winged insect with a flattened body; used as bait by fishermen; aquatic gilled larvae are carnivorous and live beneath stones,"Urbana,University of Illinois Press[1971] | University Library, University of Illinois Urbana Champaign View Book",0
a special seat in a theater or grandstand box,seating area in a theater,1
a borough of New York City,"art museum in New York, New York",0
deciduous shrubby magnolia from Japan having fragrant white starlike flowers blooming before leaves unfold; grown as an ornamental in United States,Wikimedia category,0
a spring that discharges hot water and steam,encyclopedic article,0
(botany) outer tissue of bark; a protective layer of dead cells,city in Ireland,0
type genus of the Icteridae,species of bird,0
the type genus of Argiopidae; small genus of orb-weaving spiders,genus of arachnids,1
a genus of Pleuronectidae,species of plant,0
the administration of an anticoagulant drug to retard coagulation of the blood,set of mechanisms to prevent blood from thickening,1
the state of being weak in health or body (especially from old age),member of Dominican Order,0
a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia,family name,0
Italian salt-cured ham usually sliced paper thin,"kind of prosciutto produced in San Daniele del Friuli area, in the Friuli-Venezia Giulia region of Italy, darker in color and sweeter in flavor",0
a landlocked mountainous republic in southeast central Asia to the north of Afghanistan; formerly an Asian soviet,national anthem,0
stock held by stockholders of record on a given date,record label,1
swing from one hold to the next,article,0
widely distributed over temperate North America,genus of birds,0
the region of Africa to the south of the Sahara Desert,institute for social-science research on Sub-Saharan Africa,0
swing from one hold to the next,form of arboreal locomotion,1
type genus of the family Holocentridae; squirrelfishes,species of fish,0
one of a series of hooks used to hold cloth on a tenter,hooked nail for use in a tenterframe,1
use the file transfer protocol to transfer data from one computer to another,InterPro Domain,0
instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people,album by Circle,0
bedclothes that provide a cover for a mattress,clinical trial,1
especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part,scientific journal article,0
a scale formerly used to describe the magnitude of an earthquake; an earthquake detected only by seismographs is a I and an earthquake that destroys all buildings is a XII,earthquake intensity magnitude,1
relating to the lower jaw,scientific journal article,0
a family of protoctists,family of foraminifers,1
a genus of Strigidae,Wikimedia template,0
a helvella with a saddle-shaped fertile part and creamy color; the stalk is fluted and pitted,Wikimedia category,0
summon (a vouchee) into court to warrant or defend a title,Dutch Golden Age painter,0
aromatic potherb used in cookery for its savory qualities,"American commercial artist, cartoonist, playwright and screenwriter",0
any of numerous trees and shrubs grown for their beautiful glossy foliage and sweetly fragrant starry flowers,species of insect,1
sandgrouse of India,species of bird,1
a commissioned officer (especially one in the Royal Air Force) equivalent in rank to a colonel in the army,pilot and RAF officer,0
schooling goatfish; greyish with yellow stripe,Wikimedia category,0
English breed of strong stocky dog having a broad skull and smooth coat,"Staffordshire Bull Terrier, mascot of the Staffordshire and Mercian Regiments",0
a signal transmitted by telegraphy,Royal Navy admiral,0
lean flesh of very large flatfish of Atlantic or Pacific,"common name, for edible fishes",0
of or relating to or characteristic of Calcutta or its inhabitants,"Capital of West Bengal, India",1
the trade name for a drug used to treat upper respiratory congestion; it contains an antihistamine and a bronchodilator and a vasoconstrictor,chemical compound,1
(anatomy) the part of an organ nearest its point of attachment,facility directly owned and operated by or for the military,0
having twelve sides,type of die,0
a port city on the Pacific in northern Chile,Chilean business,0
a French caretaker of apartments or a hotel; lives on the premises and oversees people entering and leaving and handles mail and acts as janitor or porter,1907 film by Louis Feuillade,0
monotypic genus of tropical American trees: button tree,form of plant,0
egg-shaped terra cotta wind instrument with a mouthpiece and finger holes,1998 video game for the Nintendo 64,0
the compass point midway between south and southeast,instruction set,0
national capital and largest city of Romania in southeastern Romania,university,0
a movement aimed to promote understanding and cooperation among Christian churches; aimed ultimately at universal Christian unity,writer on the missionary and ecumenical movement,0
a small vascular growth on the surface of a mucous membrane,species of fungus,0
complete metamorphosis in insects,form of insect development,1
(psychoanalysis) the process during which personality and sexual behavior mature through a series of stages: first oral stage and then anal stage and then phallic stage and then latency stage and finally genital stage,theory of human development according to Freudian psychology,1
the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature),Hungarian-born French philosopher,0
the quality of being particular and pertaining to a specific case or instance,article,0
a serial killer whose murders occur within a brief period of time,"English mass murderer and spree killer, perpetrator of the Hungerford massacre",0
small genus of tropical African shrubs,species of plant,0
a bass horn (brass wind instrument) that is the tenor of the tuba family,Belgian euphonium player,0
in a slowly developing and long lasting manner,scientific journal article,0
of or relating to plants of the family Solanaceae (the potato family),doctoral thesis,0
lightly built medium-sized theropod with long limbs and neck,genus of reptiles (fossil),1
of prairies and desert areas of southwestern United States and Mexico,species of plant,1
produced by aphesis,"loss of one or more sounds from the beginning of a word, especially the loss of an unstressed vowel",1
the last upper premolar and first lower molar teeth of a carnivore; having sharp edges for cutting flesh,tooth type,1
a form containing a set of questions; submitted to people to gain statistical information,questionnaire for driver behavior,0
a verdict resulting from improper compromises between jurors on material issues,legal term,1
New World curlew that breeds in northern North America,"scholarly article published in The Auk, October 1916",0
fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag,episode of South Park,0
counterintelligence designed to detect and counteract sabotage,deliberate action aimed at weakening another entity,1
a W-shaped constellation in the northern hemisphere near Polaris,Finnish mixed choir,0
a loudspeaker that is designed to reproduce very low bass frequencies,2006 season,0
"clump together; as of bacteria, red blood cells, etc.",clumping of particles,0
the state capital of Connecticut; located in central Connecticut on the Connecticut river; a center of the insurance business,"village and civil parish in Cheshire, England",0
introducing water into a pump to improve the seal and start the water flowing,school of economic thought,0
small Chinese shrub with smooth unfurrowed dark red fruit grown especially for its red or pink or white flowers,species of plant,1
a wide street in London stretching from Trafalgar Square to the Houses of Parliament; site of many government offices,"British comedian, television presenter and actor",0
someone who popularizes a new fashion,person who creates or expands a fashion trend by adopting a product or style,1
furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,drawing in the National Gallery of Art (NGA 18065),0
common summer-flowering woodland herb of Labrador to Colorado,Wikimedia category,0
Australian annual sometimes cultivated for its racemes of purple flowers and edible yellow egg-shaped fruit,species of plant,1
mild flat onion grown in warm areas,"variety of onion that is not pungent, due to low sulfur content and high water content when compared to other onion varieties",1
of or relating to a system to destroy satellites in orbit,Congressional Research Service report,0
stout hairy annual of eastern North America with sweet yellow fruits,species of plant,1
an analyst who studies the financial statements and financial history of applicants for credit in order to evaluate their creditworthiness,person who performs financial analysis,1
curry made with lamb,Bengali curry dish that is prepared from mutton,1
a group of islands in the southeast Aegean Sea,island group,0
of a word or phrase meaningful only when it occurs in the company of other words,"words with little/ambiguous lexical meaning that express grammatical relationships or specify the speaker’s attitude/mood of the speaker; e.g. articles, pronouns, adpositions, conjunctions, auxiliary verbs, interjections, particles",1
furniture consisting of a table or stand to hold a basin and pitcher of water for washing: `wash-hand stand' is a British term,drawing in the National Gallery of Art (NGA 18062),0
form class; coextensive with subdivision Deuteromycota,"[Seattle, Wash.] : for sale by the Superintendent of Documents, U.S. G.P.O.,1977. | Penn State University (archive.org) View Book",0
a fabric made from a twilled mixture of cotton and wool,British textile manufacturer and fashion brand,0
someone who is licensed to operate an aircraft in flight,family name,0
an Irish breed of medium-sized terriers with a silky blue-grey coat,Wikimedia category,0
small kangaroo of northeastern Australia,species of mammal,1
skin disease characterized by a scaly rash on the palms and soles; associated with Reiter's syndrome,Human disease,1
a progressive tense used to express action that will be on-going in the future,simple sentences for english learning,1
hold and prevent from leaving,Norwegian metal band,0
used especially of currencies; incapable of being exchanged for or replaced by another currency of equal value,non-convertible Argentine paper currency,0
leaves sometimes used as potherbs; seeds used as cereal; southern United States to Central America; India and China,Wikimedia category,0
a river in Thailand formed by the confluence of the Nan and Ping Rivers; flows southward past Bangkok and empties into the Gulf of Thailand,article,0
comedy that uses black humor,comic work that employs black humor or gallows humor,1
a genus of Istiophoridae,species of fish,0
a national park in Utah having rock formations and ancient cliff dwellings; canyons of the Green River and the Colorado River,U.S. National Park located in southeastern Utah near the town of Moab,1
a place where illicit sex is available under the guise of therapeutic massage,article,0
orchid having both male and female flowers in the same raceme; when a sensitive projection at the base of the column of the male flower is touched the pollen is suddenly ejected,species of plant,1
the state of having cells,scientific journal article,0
a constellation in the southern hemisphere near Dorado and Columba,painter,0
a musician who plays the trombone,album by American trombonist Curtis Fuller's Sextette,0
hating women in particular,doctoral thesis by Melissa Sydeman,0
straight chair having a shaped seat and a back of many spindles,drawing in the National Gallery of Art (NGA 16367),0
an independent agency of the United States government responsible for aviation and spaceflight,researcher,0
a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer,painting by Abraham de Verwer,0
tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times,species of insect,0
a device to convey illuminating gas from the pipe to the gas burner,production of artificial light from combustion of a gaseous fuel,1
small genus of tropical South African trees and shrubs,family of plants,0
a chronic disease interfering with the normal functioning of the liver; the major cause is chronic alcoholism,article,0
household for three; an arrangement where a married couple and a lover of one of them live together while sharing sexual relations,single,0
aromatic potherb used in cookery for its savory qualities,American executive,0
a bell activated by the magnetic effect of an electric current,experimental electric bell that was set up in 1840,0
type genus of the Meropidae,species of bird,0
