text1,text2,is_same
a professional person authorized to practice law; conducts lawsuits or gives legal advice,Philadelphia lawyer and art collector,0
the enormous gorge of the Colorado River in northern Arizona,canyon on the Yellowstone River,0
set of bells hung in a bell tower,"municipality in Quebec, Canada",0
a periodical published by a business firm for its employees and customers,genre of dance music that originated in the American city of Chicago in the early 1980s,0
a discomycete that is a harbinger of spring; the fruiting body is thin and tough and saucer-shaped (about the size of quarter to a half dollar) with a deep bright red upper surface and a whitish exterior,species of fungus,1
"a small cyme, generally with few flowers",Term used in botany to describe a cluster of flowers,1
a sitting position with the legs crossed; used in yoga,cross-legged sitting asana,1
coextensive with the family Ginkgoaceae: plants that first appeared in the Permian and now represented by a single surviving species; often included in Coniferales,genus of plants,0
leukemia characterized by enlargement of lymphoid tissues and lymphocytic cells in the circulating blood,lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood,1
shrub of northwestern North America bearing red berries,species of plant,1
deciduous and evergreen shrubs often spiny; cosmopolitan in temperate and subtropical regions,genus of plants,1
the season when new plays are produced,theatrical season,1
large shrub of South Africa having many conspicuously hairy branches with large hairy leaves and clusters of conspicuous white flowers,species of plant,1
any of various rhizomatous usually perennial plants of the genus Arnica,female given name,0
herbs and subshrubs: mallows,"municipality of Zamora Province, Spain",0
an order of dicotyledonous plants including Moraceae and Urticaceae and Ulmaceae,order of plants,1
a town in eastern Texas,American Japanese bilingual singer and songwriter,0
an annuity scheme wherein participants share certain benefits and on the death of any participant his benefits are redistributed among the remaining participants; can run for a fixed period of time or until the death of all but one participant,"Hotel in Greenock, Scotland",0
evergreen tree of southern United States having large stiff glossy leaves and huge white sweet-smelling flowers,river in the United States of America,0
largest city in Illinois; a bustling Great Lakes port that extends 26 miles along the southwestern shoreline of Lake Michigan,horse,0
of or relating to a mediator or the duties of a mediator,title of Jesus,1
a thin explosive device inside an envelope or package and detonated when opened,album by The Submarines,0
having the brilliant orange-red color of flames,species of bird,1
the sixth month of the Islamic calendar,sixth month of the Islamic calendar,1
a fighter that is difficult to detect by radar; is built for precise targeting and uses laser-guided bombs,1992 video game,0
creeping evergreen shrub with bright yellow star-shaped summer flowers; useful as ground cover,botanical watercolour drawing by Ferdinand Bauer,0
the temporal dominions belonging to the pope (especially in central Italy),doctoral thesis by Sebastian T. Leonard,0
a circular board of wood or cork used as the target in the game of darts,1967 studio album by The Beatles,0
small genus of North American herbs and shrubs with terminal panicles of small ray flowers,genus of plants,1
a plan of action adopted by an individual or social group,journal,1
a congenital defect of the central nervous system in which a sac containing part of the spinal cord and its meninges protrude through a gap in the vertebral column; frequently accompanied by hydrocephalus and mental retardation,"spina bifida characterized by protrusion of the spinal cord through an opening, covered by meningeal membranes",1
referring to or relating to or having the style of architecture created by Andrea Palladio,Italian architect,0
Old World boas: pythons; in some classifications considered a separate family from Boidae,family of nonvenomous snakes,1
a militant group of extremist Sunnis who believe themselves the only correct interpreters of the Koran and consider moderate Muslims to be infidels; seek to convert all Muslims and to insure that its own fundamentalist version of Islam will dominate the world,ultra-conservative reform movement within Sunni Islam,1
someone who marries one person while already legally married to another,"English writer, spy, MI6 officer, hospital porter and serial bigamist",0
the Bantu language of the Buganda people; spoken in Uganda,edition of the free-content encyclopedia,0
a smoker of cigars,tightly-rolled bundle of tobacco designed to be lit and smoked,1
an operation on exactly two operands,calculation that combines two elements of the set to produce another element of the set; operation of arity two whose two domains and one codomain are the same set,1
a genus of Pyralidae,genus of insects,1
spicy southern specialty: chicken (or small game) with corn and tomatoes and lima beans and okra and onions and potatoes,"stew from the southern US, containing tomatoes, beans, corn, okra, and game meat (squirrel, rabbit, possum, or substituted with chicken)",1
a member of a seafaring group of North American Indians who lived on the Pacific coast of British Columbia and southwestern Alaska,"archipelago on the North Coast of British Columbia, Canada",0
genus of herbs with flowers that resemble gentian; in some classifications included in genus Gentiana,species of plant,0
having overlapping hull planks,method of boat building,1
leukemia characterized by enlargement of lymphoid tissues and lymphocytic cells in the circulating blood,childhood acute lymphoblastic leukemia that has material basis in B-cells,0
any immature mammal,"The chemical reactions and pathways involving prolactin, a protein hormone of the anterior pituitary gland that promotes lactation in response to the suckling stimulus of hungry young mammals.",1
any informal meal eaten outside or on an excursion,album by Pere Ubu,0
a port city in southwestern Norway; center for shipbuilding industry,"building in Stavanger, Rogaland, Norway",0
trade name for a fixed-combination antidiarrheal drug that use kaolin as the adsorbent and pectin as the emollient,chemical compound,1
a hit squad of the New People's Army in the Philippines,1987 film,1
breed of small Manchester terrier,dog breed,1
deciduous shrub or small tree with pyramidal flower clusters,species of plant,1
a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court,"writ issued by a government agency, most often a court, to compel testimony by a witness or production of evidence under a penalty for failure",1
an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate,"inclined elevator in Osimo, Italy",0
light radioactive isotope of iodine with a half-life of 60 days; used as a tracer in thyroid studies and as a treatment for hyperthyroidism,article,0
type genus of Burseraceae; tropical and subtropical American shrubs and trees some yielding timber and gum elemi,species of plant,0
lacking a cutting edge,round object,1
referring to or relating to or having the style of architecture created by Andrea Palladio,grade I listed Palladian building in south west England,0
a toxic compound resembling mustard gas in structure; important in cancer treatment,article,0
small edible dark purple to black berry with large pits; southern United States,"human settlement in Louisiana, United States of America",0
type genus of the Kinosternidae,species of turtle,0
those in a business who are responsible for sales,act of selling a product or service in return for money or other compensation,1
(Greek mythology) the goddess of health; daughter of Aesculapius and sister of Panacea,reef in Papua New Guinea,0
using the name of a part for that of the whole or the whole for the part; or the special for the general or the general for the special; or the material for the thing made of it,figure of speech,1
a city in central Lithuania,journal article; published  in Journal of Israeli History in 1997,0
a narrow republic surrounded by Senegal in West Africa,political party in Gambia,0
shooting game birds that are flying (on the wing),"London, Ont.,T.G. Davey,1881. | Smithsonian Libraries View Book",1
with hands on hips and elbows extending outward,body pose which involves standing with hands on hips,1
the position of precentor,"Anglican cathedral, and the seat of the Bishop of Exeter in England, UK",1
having a strong taste,article,1
former name of the Characidae,family of fishes,1
largest of the Cape Verde Islands in the Atlantic Ocean,largest island of Cape Verde,1
clothing suitable for relaxation,relaxed clothing for wear at home; sometimes elegant and worn for entertaining,1
North American annual or biennial with long soft hairs on the leaves,species of plant,1
superficial veins ascending the radial side of the forearm; combines with the ulnar veins to form the brachial vein,vein of insect wing,1
East Indian tree having long pods containing a black cathartic pulp used as a horse medicine,species of plant,1
a small portable pad that provides traction for the ball of a computer mouse,desktop environment for Unix-like operating systems,0
something that is oriented vertically,"significant vertical, or near vertical, rock exposure",0
black-and-white shorebird with stout legs and bill; feed on oysters etc.,"scholarly article published in The Auk, July 1886",0
popular panfish from Bermuda and Gulf of Mexico to Brazil,species of fish,1
subject to repayment,non-repayable funds disbursed by one party to a recipient,1
relating or near the pubis,the ventral and anterior of the three principal bones composing either half of the pelvis,0
a medicine that inhibits cholinesterase by combining with it and so has a cholinergic effect,drugs that inhibit cholinesterases,1
German chemist (1825-1909),German chemist,1
a spout that terminates in a grotesquely carved figure of a person or animal,album by Mark Lanegan,0
iron or earthenware cooking pot; used for stews,"mountain in Utah, United States of America",0
resistant to rust,"Ogden, Utah :Intermountain Forest and Range Experiment Station, Forest Service, U.S. Dept. of Agriculture,1980. | U.S. D",0
an order of dicotyledonous trees of the subclass Hamamelidae,Wikimedia category,0
(philosophy) the philosophical doctrine that all criteria of judgment are relative to the individuals and situations involved,"philosophical view rejecting universalism, e.g. about truth",1
any of various plants of the genus Castilleja having dense spikes of hooded flowers with brightly colored bracts,American filmmaker,0
tending to move apart in different directions,InterPro Family,0
dishware made of high quality porcelain,state in East Asia,0
grape from a cultivated variety of the common grape vine of Europe,"Las Cruces, N.M. :New Mexico College of Agriculture and Mechanic Arts,1916. | University Library, University of Illinois Urbana Champaign View Book",0
inflammation of a breast (or udder),journal article; published in Acta Radiologica in 2007,0
a rosid dicot genus of the family Umbelliferae; includes parsnips,species of plant,0
small genus of highly toxic biennials: hemlock,band,0
thrushes; in some classifications considered a subfamily (Turdinae) of the family Muscicapidae,genus of birds,0
a matrix with the same number of rows and columns,compilation album published by Alfa Matrix in 2004,0
a death that results from a wrongful act or from negligence; a death that can serve as the basis for a civil action for damages on behalf of the dead person's family or heirs,a wrong that causes another's death,1
having complicated nutritional requirements; especially growing only in special artificial cultures,liquid or gel used for the growth of microorganisms or cells,1
any of various thorny shrubs of the genus Pyracantha bearing small white flowers followed by hard red or orange-red berries,book by Sarah Micklem,0
widely distributed genus of herbs with milky juice; includes some cosmopolitan weeds,article,0
an hour early in the morning,article,0
slow-growing Japanese evergreen subshrub having terminal spikes of white flowers; grown as a ground cover,species of plant,1
a Scandinavian language (closely related to Icelandic) that is spoken on the Faroe Islands,association football league,0
an expression that is difficult to articulate clearly,American English language tongue-twister,0
artifacts used in making your toilet (washing and taking care of your body),organization,0
tropical African annual having scarlet tassel-shaped flower heads; sometimes placed in genus Cacalia,species of plant,1
resembling the shape of a goblet,generic goblet drum,0
tropical Asiatic evergreen shrubs or small trees,"Boston,J. Breck & company,1838. | Library of Congress",1
any of various plants of the genus Physostegia having sessile linear to oblong leaves and showy white or rose or lavender flowers,genus of plants,1
a plant of the family Caryophyllaceae,article,1
large southern European spider once thought to be the cause of tarantism (uncontrollable bodily movement),H II region in the constellation Dorado,0
a furnace that feeds itself so as to maintain a uniform temperature; used by alchemists,French industrial label,0
rule for calculating an expected delivery date; subtract three months from the first day of the last menstrual period and add seven days to that date,way of calculating the due date for a pregnancy,1
hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it,1991 album by Golden Earring,0
a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy,spiral galaxy within the Local Group,0
small genus of tuberous Australian perennial herbs,"island in Tasmania, Australia",0
a transportation system that operates over relatively short distances,railroad company that operates over a short distance,1
any informal meal eaten outside or on an excursion,album by Fifth Dimension,0
European tree bearing edible small speckled brown fruit,species of plant,1
the ceremonial breaking of the ground to formally begin a construction project,Congressional Research Service report,0
book language; one of two official languages of Norway; closely related to Danish,naval warfare service of the Kingdom of Denmark and Norway (1510-1814),0
term used in some classifications as nearly equivalent to the order Coraciiformes,order of birds,1
an electronic voltmeter that gives readings in digits,instrument used for measuring electrical potential difference,1
hormone secreted by the pineal gland,The chemical reactions and pathways resulting in the formation of melatonin (N-acetyl-5-methoxytryptamine).,0
without payment,obtainable without payment,1
a river in eastern Illinois that flows southeastward to the Wabash River,river in United States of America,0
pleurisy and pneumonia,article in Otto's encyclopedia,0
a chemical agent that causes blistering (especially mustard gas),"chemical compound that causes severe skin, eye and mucosal pain and irritation",1
"an adjective that classifies its noun (e.g., `a nervous disease' or `a musical instrument')",adjective that defines a relation and not a qualification,1
a former republic in central Europe; divided into Czech Republic and Slovakia in 1993,the history of czechoslovakia during the cold war,0
in the manner of Michelangelo,"Italian sculptor, painter, architect and poet",0
coextensive with the family Ginkgoaceae: plants that first appeared in the Permian and now represented by a single surviving species; often included in Coniferales,order of plants,1
an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs,French illustrator,0
small rough-barked locust of southeastern United States having racemes of pink flowers and glutinous branches and seeds,species of plant,1
neither spouse can divulge confidential communications from the other while they were married,legal secrecy of communication between spouses,1
a method of treating disease using food and exercise and heat to assist the natural healing process,"facility in New Delhi, India",0
a Cox-2 inhibitor (trade name Vioxx) that relieves pain and inflammation without harming the digestive tract; voluntarily withdrawn from the market in 2004,chemical compound,1
automotive steering where engineer power amplifies the torque applied to the steering wheel,painting by Frederick Hammersley,0
insectivorous arboreal mammal of southeast Asia that resembles a squirrel with large eyes and long sharp snout,doctoral thesis,0
"a thin sheet of metal (iron or steel) coated with tin to prevent rusting; used especially for cans, pots, and tins",water-driven water pump built around 1793 to return water from the Melingriffith Tin Plate Works to the Glamorganshire Canal,0
prostrate woody South American herb with white tubular flowers often tinged with blue or rose,species of plant,1
son of Henry V who as an infant succeeded his father and was King of England from 1422 to 1461; he was taken prisoner in 1460 and Edward IV was proclaimed king; he was rescued and regained the throne in 1470 but was recaptured and murdered in the Tower of London (1421-1471),play by Shakespeare,0
violent and sudden and noisy,"bay in Newfoundland and Labrador, Canada",1
a white salt (K2CO3) that is basic in solution; used to make glass and cleansing agents,chemical compound,1
a farm where vegetables are grown for market,"New York,Rural publishing company[c1892] | Library of Congress",0
the administrative center of the Faroe Islands,painting by Niels Bjerre,0
a former republic in central Europe; divided into Czech Republic and Slovakia in 1993,sports team,0
having skin like velvet,Human disease,1
small genus of low perennial herbs of montane Europe; in some classifications included in genus Tussilago,Wikimedia category,0
an order of hooved mammals of the subclass Eutheria (including pigs and peccaries and hippopotami and members of the suborder Ruminantia) having an even number of functional toes,article,0
small genus of perennial bulbs of western Europe and North Africa; sometimes placed in family Hyacinthaceae,species of plant,0
juniper of swampy coastal regions of southeastern United States; similar to eastern red cedar,species of plant,1
English rock star and bass guitarist and songwriter who with John Lennon wrote most of the music for the Beatles (born in 1942),holding company for the business interests of Sir Paul McCartney,0
"standard time in the 7th time zone west of Greenwich, reckoned at the 105th meridian west; used in the mountain states of the United States",scientific journal article,0
a chemical substance that causes sneezing and coughing and crying,"reflexive, convulsive expulsion of air from the lungs through the nose and mouth",1
coextensive with class Phaeophyceae; in some classifications subsumed in the division Heterokontophyta,article,0
produced by aphesis,"loss of one or more sounds from the beginning of a word, especially the loss of an unstressed vowel",1
type genus of the family Ancylidae: river limpet,genus of molluscs,1
used for working in gardens or yards,garden tool,0
a city in southern Turkey on the Seyhan River,dam,0
a genus of fungi belonging to the family Polyporaceae,Wikimedia category,0
grown as a houseplant for its silvery striped fleshy foliage; South America,species of plant,1
a watchman on a wharf,television series,1
any bird (as grouse or pheasant) that is hunted for sport,animal hunted for sport or for food,1
a pyrometer consisting of a series of cones that melt at different temperatures,pyromatic device,1
large genus of chiefly perennial erect branching herbs of north temperate regions some poisonous,article,1
a honey-colored edible mushroom commonly associated with the roots of trees in late summer and fall; do not eat raw,species of fungus,1
an archipelago of small islands off the southwestern coast of England near the entrance to the English Channel; formerly a haven for smugglers and pirates,"civil parish in the Isles of Scilly, Cornwall, England",0
an infection of the oral pharynx and tonsils by streptococcus,infection of the back of the throat including the tonsils caused by group A streptococcus (GAS),1
an officer in command of a military unit,general in the Roman army,0
a television commercial presented in the form of a short documentary,advertisement written by the advertiser but made to look like editorial content from the media in which it is published,0
leavened with baking powder,"North American small baked goods with a firm browned crust and a soft interior, made with baking powder or baking soda",1
traditional French stew of vegetables and beef,French beef stew,1
paying excessive attention to the clock (in anticipation of stopping work),doctoral thesis by Jane Desborough,0
unselfishly willing to share with others,the publishing or transfer of a user's digital photos online,0
a sedimentary rock consisting of sand consolidated with some cement (clay or quartz etc.),local government area in Western Australia,0
genus of tropical Old World trees: nitta trees,genus of plants,1
beech fern of North America and Eurasia,species of plant,1
type genus of the family Plantaginaceae; large cosmopolitan genus of mostly small herbs,article,0
the act of discouraging,painting by José Malhoa,0
(Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors,female given name; English language,1
a mission to discover something,Mission in Star Trek: Online,1
"move upwards in bubbles, as from the effect of heating; also used metaphorically",lemon-lime soft drink brand,1
an archipelago of small islands off the southwestern coast of England near the entrance to the English Channel; formerly a haven for smugglers and pirates,"lighthouse in Tresco, Isles of Scilly, Cornwall, England",0
a television commercial presented in the form of a short documentary,Lubricant company known for additives sold through infomercials,0
type genus of the Gobiesocidae,genus of fishes,1
perennial of southwestern United States having leathery blue-green pinnatifid leaves and thick plumelike spikes of yellow flowers; sometimes placed in genus Cleome,variety of plants,0
hairy yellow-flowered plant of eastern Asia and North America,variety of plants,0
white sauce made with cream,cream sauce seasoned with parsley,1
"a sewing stitch made by a sewing machine, sometimes using more than one thread","hand or machine stitch that is barely visible from the front of a garment, used primarily for hemming",0
(Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors,American sitcom,0
North American warbler having a black-and-white head,"scholarly article published in The Auk, January 1918",0
genus of aromatic European herbs with yellow flowers,species of plant,0
the largest city in Texas; located in southeastern Texas near the Gulf of Mexico; site of the National Aeronautics and Space Administration,basketball team,0
evergreen shrub of Japan and Korea having small dark leaves and flowers in loose panicles; related to but smaller than Chinese privet,species of plant,1
prolonged spasm of the jaw muscles,medical problem of jaw clenching,1
a periodical published by a business firm for its employees and customers,periodical published by a company for its customers or employees,1
the early phase of cubism,early phase of cubism (ca. 1908-1912),1
a compound used in the form of its hydrochloride as a local or spinal anesthetic,chemical compound,1
Italian pope from 1775 to 1799 who served during the French Revolution; Napoleon attacked the Papal States and in 1797 Pius VI was taken to France where he died (1717-1799),painting by unknown artist,0
a national park in Washington having rain forests of giant evergreens,U.S. national park in Washington state,1
pretentious superficiality of knowledge,mountain in Somalia,1
an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate,2002 film by Dante Lam,0
an ancient Iranian language,Zoroastrian literature,1
North American perennial with bright yellow late summer flowers,species of plant,1
monetary unit in Oman,Monetary unit in Oman,1
paper that is impermeable to oil or grease; used in cooking,paper,1
rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking,food,1
a term in a proposition that is related to the referent of the proposition,species of insect,1
leafy wildflower having fragrant slender white or pale pink trumpet-shaped flowers; southwestern United States and northern Mexico,Wikimedia category,0
a quasi nongovernmental organization; an organization that is financed by the government yet acts independently of the government,album by Quando Quango,0
journalism that presents a story primarily through the use of pictures,"photography museum, school and research center in Manhattan, New York City",0
household for three; an arrangement where a married couple and a lover of one of them live together while sharing sexual relations,romantic relationship with three partners,1
biting lice,order of insects,1
a degenerative disorder of the central nervous system characterized by tremor and impaired muscular coordination,family name,0
not finally or definitely formed,any uncrystallized syrup made during the refining of sugar,1
used especially of plants; having a tendency to climb,"plant with a growth habit of trailing or scandent (that is, climbing) stems or runners",1
the world's 2nd largest active volcano; located in the Andes in southern Peru,volcano in Peru,1
small genus of epiphytic cacti of Mexico,species of plant,0
small yellowwood tree of southern United States having small fragrant white flowers; leaves and bark yield a yellow dye,species of plant,1
a variety of whitefly,article,1
a small piece of luggage for carrying brushes and bottles and toilet articles while traveling,drawing in the National Gallery of Art (NGA 16109),0
the final resolution of the main complication of a literary or dramatic work,book by Annie Proulx,0
a common solitary bee important for pollinating alfalfa in the western United States,species of insect,1
having a rhythm consisting of a dactyl followed by a spondee or a trochee,Greek god of beauty and desire,1
the capital and largest city of Mozambique,bairro in Mozambique,0
port in northern Libya on the Gulf of Sidra; formerly a joint capital of Libya with Tripoli,apostolic vicariate,0
tropical American shrub or small tree having glossy dark green leaves and fragrant saffron yellow to orange or peach- colored flowers; all parts highly poisonous,variety of plant,0
